region,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_cases,total_cases_per_million,mortality_rate
Vietnam,91,6,0,0,17,74,0,0.9,0.0
Algeria,90,0,11,2,32,47,0,2.0,12.22
Costa_Rica,89,2,2,1,0,87,2,17.0,2.25
Hungary,85,12,4,3,7,74,6,9.0,4.71
Bosnia_and_Herzegovina,84,20,0,0,2,82,1,26.0,0.0
Faeroe_Islands,80,8,0,0,3,77,0,1637.0,0.0
Brunei,78,5,0,0,1,77,2,178.0,0.0
Morocco,77,14,3,1,2,72,1,2.0,3.9
Andorra,75,1,0,0,1,74,2,971.0,0.0
Cyprus,75,8,0,0,0,75,1,62.0,0.0
Sri_Lanka,73,13,0,0,3,70,0,3.0,0.0
Dominican_Republic,72,38,2,0,0,70,0,7.0,2.78
Albania,70,6,2,0,0,68,2,24.0,2.86
North_Macedonia,70,20,0,0,1,69,1,34.0,0.0
Belarus,69,18,0,0,15,54,0,7.0,0.0
Jordan,69,0,0,0,1,68,0,7.0,0.0
Moldova,66,17,1,0,1,64,3,16.0,1.52
Malta,64,11,0,0,2,62,1,145.0,0.0
Lithuania,63,15,0,0,1,62,1,23.0,0.0
Tunisia,54,15,1,0,1,52,7,5.0,1.85
Kazakhstan,52,8,0,0,0,52,0,3.0,0.0
Cambodia,51,14,0,0,1,50,0,3.0,0.0
Oman,48,0,0,0,13,35,0,9.0,0.0
Palestine,48,1,0,0,17,31,0,9.0,0.0
Guadeloupe,45,12,0,0,0,45,0,112.0,0.0
Azerbaijan,44,0,1,0,7,36,0,4.0,2.27
Georgia,44,4,0,0,1,43,1,11.0,0.0
Venezuela,42,0,0,0,0,42,0,1.0,0.0
Burkina_Faso,40,7,1,0,4,35,0,2.0,2.5
New_Zealand,39,11,0,0,0,39,0,8.0,0.0
Senegal,38,2,0,0,2,36,0,2.0,0.0
Uzbekistan,33,10,0,0,0,33,0,1.0,0.0
Martinique,32,9,1,0,0,31,7,85.0,3.12
Ukraine,29,3,3,0,1,25,0,0.7,10.34
Liechtenstein,28,0,0,0,0,28,0,734.0,0.0
Réunion,28,0,0,0,0,28,0,31.0,0.0
Afghanistan,24,2,0,0,1,23,0,0.6,0.0
Honduras,24,12,0,0,0,24,0,2.0,0.0
Bangladesh,20,2,1,0,3,16,1,0.1,5.0
Cameroon,20,7,0,0,2,18,0,0.8,0.0
DRC,18,4,0,0,0,18,0,0.2,0.0
Macao,17,0,0,0,10,7,0,26.0,0.0
Cuba,16,5,1,0,0,15,0,1.0,6.25
Jamaica,16,1,1,0,2,13,0,5.0,6.25
Bolivia,16,1,0,0,0,16,0,1.0,0.0
Ghana,16,5,0,0,0,16,0,0.5,0.0
Guyana,15,10,1,0,0,14,0,19.0,6.67
French_Guiana,15,0,0,0,0,15,0,50.0,0.0
Guam,14,2,0,0,0,14,0,83.0,0.0
Montenegro,14,1,0,0,0,14,0,22.0,0.0
Puerto_Rico,14,8,0,0,0,14,0,5.0,0.0
Maldives,13,0,0,0,0,13,0,24.0,0.0
Paraguay,13,0,0,0,0,13,1,2.0,0.0
Guatemala,12,3,1,0,0,11,0,0.7,8.33
Nigeria,12,0,0,0,1,11,0,0.06,0.0
Channel_Islands,12,1,0,0,0,12,0,69.0,0.0
Mauritius,12,5,0,0,0,12,0,9.0,0.0
Monaco,11,1,0,0,0,11,0,280.0,0.0
French_Polynesia,11,5,0,0,0,11,0,39.0,0.0
Rwanda,11,0,0,0,0,11,0,0.8,0.0
Gibraltar,10,0,0,0,2,8,0,297.0,0.0
Ivory_Coast,9,0,0,0,1,8,0,0.3,0.0
Ethiopia,9,2,0,0,0,9,0,0.08,0.0
Togo,9,8,0,0,0,9,0,1.0,0.0
Trinidad_and_Tobago,9,0,0,0,0,9,0,6.0,0.0
Kenya,7,0,0,0,0,7,0,0.1,0.0
Seychelles,7,1,0,0,0,7,0,71.0,0.0
Equatorial_Guinea,6,0,0,0,0,6,0,4.0,0.0
Kyrgyzstan,6,3,0,0,0,6,0,0.9,0.0
Mayotte,6,2,0,0,0,6,0,22.0,0.0
Mongolia,6,0,0,0,0,6,0,2.0,0.0
Tanzania,6,0,0,0,0,6,0,0.1,0.0
Aruba,5,0,0,0,1,4,0,47.0,0.0
Barbados,5,0,0,0,0,5,0,17.0,0.0
Saint_Martin,4,1,0,0,0,4,0,103.0,0.0
Suriname,4,3,0,0,0,4,0,7.0,0.0
Cayman_Islands,3,0,1,0,0,2,0,46.0,33.33
Curaçao,3,0,1,0,0,2,0,18.0,33.33
Gabon,3,0,1,1,0,2,0,1.0,33.33
Bahamas,3,0,0,0,0,3,0,8.0,0.0
CAR,3,2,0,0,0,3,0,0.6,0.0
Congo,3,0,0,0,0,3,0,0.5,0.0
Madagascar,3,3,0,0,0,3,0,0.1,0.0
Namibia,3,0,0,0,0,3,0,1.0,0.0
St_Barth,3,0,0,0,0,3,0,304.0,0.0
US_Virgin_Islands,3,0,0,0,0,3,0,29.0,0.0
Sudan,2,0,1,0,0,1,0,0.05,50.0
Benin,2,0,0,0,0,2,0,0.2,0.0
Bermuda,2,0,0,0,0,2,0,32.0,0.0
Bhutan,2,1,0,0,0,2,0,3.0,0.0
Greenland,2,0,0,0,0,2,0,35.0,0.0
Guinea,2,1,0,0,0,2,0,0.2,0.0
Haiti,2,2,0,0,0,2,0,0.2,0.0
Isle_of_Man,2,1,0,0,0,2,0,24.0,0.0
Liberia,2,0,0,0,0,2,0,0.4,0.0
Mauritania,2,0,0,0,0,2,0,0.4,0.0
New_Caledonia,2,0,0,0,0,2,0,7.0,0.0
Saint_Lucia,2,0,0,0,0,2,0,11.0,0.0
Zambia,2,0,0,0,0,2,0,0.1,0.0
Nepal,1,0,0,0,1,0,0,0.03,0.0
Angola,1,1,0,0,0,1,0,0.03,0.0
Antigua_and_Barbuda,1,0,0,0,0,1,0,10.0,0.0
Cabo_Verde,1,1,0,0,0,1,0,2.0,0.0
Chad,1,0,0,0,0,1,0,0.06,0.0
Djibouti,1,0,0,0,0,1,0,1.0,0.0
El_Salvador,1,0,0,0,0,1,0,0.2,0.0
Fiji,1,0,0,0,0,1,0,1.0,0.0
Gambia,1,0,0,0,0,1,0,0.4,0.0
Vatican_City,1,0,0,0,0,1,0,1248.0,0.0
Montserrat,1,0,0,0,0,1,0,200.0,0.0
Nicaragua,1,0,0,0,0,1,0,0.2,0.0
Niger,1,0,0,0,0,1,0,0.04,0.0
Papua_New_Guinea,1,1,0,0,0,1,0,0.1,0.0
St_Vincent_Grenadines,1,0,0,0,0,1,0,9.0,0.0
Sint_Maarten,1,0,0,0,0,1,0,23.0,0.0
Somalia,1,0,0,0,0,1,0,0.06,0.0
Eswatini,1,0,0,0,0,1,0,0.9,0.0
Total,269880,24986,11266,1238,90603,168011,7798,34.6,4.17
